Comentario,Avaliacao
"Excelente, oleo, cabelo, cheiroso, hidratacao",Positivo
"Hidrata, pouco, cheiro, bom",Neutro
"Nao, Recebi, Pedido, dor, obter, cancelamento",Negativo
"Amando, marca, produto, cheiro, ficar",Positivo
"Doce, nao, usavel, amanteigado",Neutro
"Pior, Produto, Comprei, Horrivel, Cheiro, Vomito, Pessimo",Negativo
"Encantada, produtos, precos, otimos",Positivo
"Cheiro, fraco, fixacao, ruim",Neutro
"Pedido, Atrasado, Ninguem, Posiciona, Atendimento, Nao, Resolve",Negativo
"Excelente, loja, maravilhoso",Positivo
"Fixacao, fraco",Neutro
"Pedido, Sem, Entregar, Quero, Respostas, Fraude",Negativo
"Otimo, perfeito, bom, varias, promocao, facil, achar, coisas",Positivo
"Gostei, textura, cheiro, gosto, nao, agradavel",Neutro
"Nao, Recebi, Produto, Comprei, Extraviado, Empresa, Nao, Enviou, Retorno, Canais, Atendimento, Chateada",Negativo
"Doce, amei, inovacao",Positivo
"Cheiro, bom, consistencia, rala",Neutro
"Impossivel, Conseguir, Falar, Especialista, Nao, Chegou, Endereco, Especialistas, WhatsApp, Vendedor, Contato, Pessimo, Atendimento, Nao, Recomendo",Negativo
"Amo, produtos, comprei, varios, entrega, acho, demorada, melhorar, restante",Positivo
"Cheiro, adocicado, nao, gostei",Neutro
"Nao, Recebi, Produto, Ninguem, Retorna",Negativo
"Produtos, otima, qualidade, perfumes, fale, apaixonada, perfume, gostei, Red, maravilhoso",Positivo
"Produto, quebrado, frustrada",Neutro
"Vocês, Nao, Respeita, Consumidores, Encomenda, Quebrada, Atrasada",Negativo
"Adoro, produtos",Positivo
"Produto, nao, chegou",Neutro
"Pessimo, Atendimento, Telefone, Contato, Reembolso, Dinheiro, Volta",Negativo
"Maravilhoso",Positivo
"Nao, elasticidade",Neutro
"Nao, Recebi, Produto, Sem, Suporte, Saber, Pedido, Reembolso",Negativo
"Bodysplash, doce, semelhante, calda, acucarada, gostei, aromas, particular, cheiro, calda, acucar, casquinha, sorvete, agradavel, gosta, aroma, docinho, incomode, gostoso",Positivo
"Body splashes, vazados",Neutro
"Produto, Veio, Aberto, Vazando, Embalagem, Vazou, Produto, Quantidade",Negativo
"Presente, amou",Positivo
"Bom, peles jovens",Neutro
"Burrifador, Quebrado, Nao, Consigo, Contato, Resolver",Negativo
"Grossa, necessario, diluir, disfarçou, imperfeicoes, pele",Positivo
"Cheiroso, nenhuma, diferenca, Nao, recompraria",Neutro
"Burocratico, Inviavel, Comunicacao, Problema, Produto, Experiencia, Problema, Produtos, Resolver",Negativo
"Loja, boa, produtos",Positivo
"Qualidade, embalagens, cheiroso, liquido, embalagem, mole",Neutro
"Demora, Entrega, Perdem, Pontos",Negativo
"Amei, cor, ficou, perfeita, textura, boa",Positivo
"Vazio, seco",Neutro
"Demora, Entregar, Demora, Mudar, Status, Data, Entrega, Problema, Local, Entrega, Perfume, Nao, Encaixa",Negativo
"Gosto, entrega, deixando, desejar, sucesso",Positivo
"Nao, resultado",Neutro
"Falta, Agilidade, Competencia, Entregas, Caixas, Nao, Chegaram",Negativo
"Produtos, excelentes",Positivo
"Nao, melhoras, ponta, geladinha, gostei, ajuda, massagem",Neutro
"Produtos, Bons, Atendimento, Pos, Venda, Deploravel",Negativo
"Organizar, melhor, pedidos, demais, bom",Positivo
"Avaliacao, ainda, leve, melhorada, lento",Neutro
"Produtos, Bons, Entrega, Embalagem, Perfume, Veio, Vidro, Danificado, Produto, Decepcao",Negativo
"Achei, produto, potente, usar, hidratante, normal, otimo",Positivo
"Manchando, borrado",Neutro
"Nao, Retorno, Nao, Acompanham, Pedido, Nao, Chegou, Transportadora, Nao, Entregue, Empresa, WePink, Nao, Resolve, Pessimo",Negativo
"Gostei, produtos, oferecidos, otima, qualidade",Positivo
"Nao, alta, cobertura",Neutro
"Enviam, Produto, Usado, Devolvido, Clientes, Produto, Atendimento, Pessimo",Negativo
